MONTH,YEAR,HICP
Jan,2010,96.4
Feb,2010,99.3
Mar,2010,98.2
Apr,2010,98.6
May,2010,96.6
Jun,2010,97.5
Jul,2010,98.4
Aug,2010,99.6
Sep,2010,97.4
Oct,2010,96.2
Nov,2010,96.4
Dec,2010,93.7
Jan,2011,92.5
Feb,2011,95.6
Mar,2011,95.1
Apr,2011,92.6
May,2011,92.2
Jun,2011,92.6
Jul,2011,93.6
Aug,2011,91.2
Sep,2011,93.1
Oct,2011,91.1
Nov,2011,93.2
Dec,2011,90.2
Jan,2012,92.5
Feb,2012,94.7
Mar,2012,93.8
Apr,2012,92.7
May,2012,91.8
Jun,2012,93.1
Jul,2012,92.3
Aug,2012,90.4
Sep,2012,91.9
Oct,2012,90.8
Nov,2012,92.5
Dec,2012,89.1
Jan,2013,91.3
Feb,2013,93
Mar,2013,91.8
Apr,2013,94.1
May,2013,93.5
Jun,2013,92.8
Jul,2013,94.9
Aug,2013,94.9
Sep,2013,94.4
Oct,2013,94.9
Nov,2013,93.8
Dec,2013,91.2
Jan,2014,94
Feb,2014,94.7
Mar,2014,94.8
Apr,2014,92.9
May,2014,95.8
Jun,2014,93.8
Jul,2014,97.6
Aug,2014,96.7
Sep,2014,96.4
Oct,2014,96.2
Nov,2014,98.1
Dec,2014,93.3
Jan,2015,96.8
Feb,2015,100.7
Mar,2015,99
Apr,2015,98
May,2015,99.2
Jun,2015,101.3
Jul,2015,103.5
Aug,2015,102.4
Sep,2015,102.5
Oct,2015,100.8
Nov,2015,101.9
Dec,2015,93.9
Jan,2016,101.2
Feb,2016,105.3
Mar,2016,95.1
Apr,2016,103.1
May,2016,102.8
Jun,2016,103.1
Jul,2016,105.5
Aug,2016,105.5
Sep,2016,103.5
Oct,2016,103
Nov,2016,103.9
Dec,2016,96
Jan,2017,100.4
Feb,2017,102.7
Mar,2017,101.8
Apr,2017,98.3
May,2017,102
Jun,2017,102.9
Jul,2017,105.7
Aug,2017,101.7
Sep,2017,100.1
Oct,2017,100.2
Nov,2017,99.1
Dec,2017,95.9
Jan,2018,105.2
Feb,2018,106.6
Mar,2018,102.3
Apr,2018,103.3
May,2018,105.6
Jun,2018,106.1
Jul,2018,108.1
Aug,2018,105.4
Sep,2018,105.8
Oct,2018,103.9
Nov,2018,106.8
Dec,2018,102.8
Jan,2019,104.1
Feb,2019,107.9
Mar,2019,106.5
Apr,2019,103
May,2019,102.6
Jun,2019,101.9
Jul,2019,105.7
Aug,2019,101.3
Sep,2019,100.9
Oct,2019,99.2
Nov,2019,101.9
Dec,2019,96.6
Jan,2020,103.8
Feb,2020,107.6
Mar,2020,105.7
Apr,2020,106.4
May,2020,105.7
Jun,2020,105.1
Jul,2020,108.9
Aug,2020,106.1
Sep,2020,107
Oct,2020,105.7
Nov,2020,106.8
Dec,2020,100.3
Jan,2021,101.9
Feb,2021,102.1
Mar,2021,100
Apr,2021,99.3
May,2021,98.4
Jun,2021,97.2
Jul,2021,98.7
Aug,2021,97.8
